PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,Longitude,Latitude
AO53,-0.43,0.71,1.14,-0.10,0.10,-0.11,0.04,0,716042.00,4339196.00
AP52,-0.41,0.64,1.05,0.01,0.10,0.00,0.13,0,716037.00,4339191.00
AP53,-0.34,0.41,0.75,0.02,0.10,0.03,0.15,0,716042.00,4339191.00
AP54,-0.32,0.54,0.86,0.03,0.10,0.03,0.15,0,716047.00,4339191.00
AQ51,-0.38,0.50,0.88,0.08,0.10,0.08,0.21,0,716032.00,4339186.00
AQ52,-0.37,0.87,1.24,0.12,0.12,0.11,0.28,0,716037.00,4339186.00
AQ53,-0.29,0.82,1.10,0.09,0.09,0.08,0.20,0,716042.00,4339186.00
AQ54,-0.29,0.35,0.64,0.02,0.07,0.02,0.11,0,716047.00,4339186.00
AQ55,-0.30,0.46,0.76,-0.02,0.08,-0.03,0.09,0,716052.00,4339186.00
AR50,-0.26,0.55,0.82,0.12,0.08,0.12,0.22,0,716027.00,4339181.00
AR51,-0.21,0.80,1.01,0.21,0.12,0.20,0.37,0,716032.00,4339181.00
AR52,-0.20,0.77,0.98,0.22,0.13,0.21,0.40,0,716037.00,4339181.00
AR53,-0.33,0.89,1.22,0.10,0.12,0.09,0.25,0,716042.00,4339181.00
AR54,-0.30,1.00,1.30,0.05,0.09,0.05,0.15,0,716047.00,4339181.00
AR55,-0.33,0.60,0.93,0.11,0.12,0.11,0.26,0,716052.00,4339181.00
AR56,-0.19,0.51,0.70,0.11,0.10,0.10,0.23,0,716057.00,4339181.00
AR57,-0.27,0.69,0.96,0.07,0.12,0.06,0.22,0,716062.00,4339181.00
AS49,-0.27,0.51,0.79,0.11,0.10,0.11,0.24,0,716022.00,4339176.00
AS50,-0.16,0.50,0.66,0.20,0.09,0.20,0.32,0,716027.00,4339176.00
AS51,-0.27,0.63,0.90,0.23,0.11,0.23,0.36,0,716032.00,4339176.00
AS52,-0.24,0.60,0.84,0.13,0.11,0.12,0.27,0,716037.00,4339176.00
AS53,-0.20,0.55,0.75,0.09,0.10,0.08,0.22,0,716042.00,4339176.00
AS54,-0.29,0.84,1.12,0.15,0.12,0.15,0.30,0,716047.00,4339176.00
AS55,-0.20,0.91,1.10,0.12,0.09,0.12,0.22,0,716052.00,4339176.00
AS56,-0.28,0.45,0.73,0.07,0.10,0.07,0.20,0,716057.00,4339176.00
AS57,-0.26,0.53,0.79,0.08,0.11,0.08,0.22,0,716062.00,4339176.00
AS58,-0.30,0.64,0.95,0.10,0.10,0.10,0.23,0,716067.00,4339176.00
AT49,-0.25,0.61,0.86,0.17,0.10,0.17,0.30,0,716022.00,4339171.00
AT50,-0.24,0.68,0.93,0.22,0.13,0.20,0.40,0,716027.00,4339171.00
AT51,-0.18,0.74,0.92,0.20,0.13,0.18,0.39,0,716032.00,4339171.00
AT52,-0.19,0.63,0.83,0.15,0.10,0.15,0.28,0,716037.00,4339171.00
AT53,-0.16,0.59,0.75,0.17,0.11,0.17,0.31,0,716042.00,4339171.00
AT54,-0.32,0.86,1.19,0.18,0.12,0.17,0.33,0,716047.00,4339171.00
AT55,-0.26,0.79,1.05,0.15,0.11,0.15,0.29,0,716052.00,4339171.00
AT56,-0.36,0.48,0.84,0.09,0.09,0.09,0.21,0,716057.00,4339171.00
AT57,-0.26,0.56,0.82,0.12,0.09,0.12,0.24,0,716062.00,4339171.00
AT58,-0.29,0.53,0.82,0.08,0.11,0.08,0.22,0,716067.00,4339171.00
AT59,-0.24,1.00,1.24,0.12,0.15,0.10,0.31,0,716072.00,4339171.00
AT60,-0.27,0.85,1.12,0.10,0.10,0.11,0.23,0,716077.00,4339171.00
AU48,-0.21,0.53,0.74,0.14,0.10,0.14,0.27,0,716017.00,4339166.00
AU49,-0.29,0.58,0.88,0.16,0.10,0.16,0.29,0,716022.00,4339166.00
AU50,-0.23,0.68,0.92,0.09,0.11,0.07,0.22,0,716027.00,4339166.00
AU51,-0.23,0.49,0.72,0.15,0.11,0.16,0.29,0,716032.00,4339166.00
AU52,-0.20,0.59,0.79,0.23,0.09,0.23,0.33,0,716037.00,4339166.00
AU53,-0.33,0.77,1.10,0.24,0.11,0.25,0.37,0,716042.00,4339166.00
AU54,-0.19,0.64,0.83,0.17,0.10,0.17,0.29,0,716047.00,4339166.00
AU55,-0.32,0.58,0.91,0.17,0.10,0.17,0.30,0,716052.00,4339166.00
AU56,-0.30,0.66,0.97,0.12,0.10,0.11,0.25,0,716057.00,4339166.00
AU57,-0.17,0.38,0.55,0.10,0.08,0.10,0.20,0,716062.00,4339166.00
AU58,-0.23,0.81,1.04,0.06,0.11,0.05,0.19,0,716067.00,4339166.00
AU59,-0.31,1.00,1.31,0.10,0.15,0.08,0.28,0,716072.00,4339166.00
