PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,0.02,0.35,0.34,0.14,0.05,0.13,0.21,0,716042,4339196
AP52,0.06,0.70,0.63,0.24,0.07,0.23,0.33,0,716037,4339191
AP53,0.07,0.38,0.31,0.18,0.04,0.18,0.23,0,716042,4339191
AP54,0.05,0.30,0.25,0.15,0.03,0.14,0.19,0,716047,4339191
AQ51,0.11,0.78,0.67,0.32,0.09,0.30,0.43,0,716032,4339186
AQ52,0.06,0.71,0.66,0.29,0.08,0.28,0.39,0,716037,4339186
AQ53,0.11,0.47,0.36,0.22,0.04,0.22,0.27,0,716042,4339186
AQ54,0.09,0.32,0.23,0.18,0.03,0.17,0.21,0,716047,4339186
AQ55,0.06,0.24,0.18,0.14,0.03,0.14,0.17,0,716052,4339186
AR50,0.10,0.64,0.53,0.32,0.06,0.31,0.40,0,716027,4339181
AR51,0.13,0.73,0.60,0.33,0.06,0.32,0.41,0,716032,4339181
AR52,0.15,0.63,0.48,0.29,0.05,0.29,0.36,0,716037,4339181
AR53,0.09,0.65,0.56,0.29,0.07,0.28,0.39,0,716042,4339181
AR54,0.09,0.52,0.43,0.22,0.05,0.22,0.28,0,716047,4339181
AR55,0.08,0.27,0.19,0.14,0.02,0.14,0.18,0,716052,4339181
AR56,0.05,0.25,0.20,0.12,0.02,0.12,0.15,0,716057,4339181
AR57,0.05,0.40,0.35,0.10,0.02,0.10,0.13,0,716062,4339181
AS49,0.13,0.77,0.64,0.31,0.06,0.30,0.39,0,716022,4339176
AS50,0.16,0.90,0.73,0.32,0.07,0.31,0.40,0,716027,4339176
AS51,0.17,0.70,0.53,0.32,0.06,0.31,0.40,0,716032,4339176
AS52,0.17,0.80,0.63,0.37,0.08,0.36,0.47,0,716037,4339176
AS53,0.16,0.82,0.66,0.37,0.08,0.36,0.48,0,716042,4339176
AS54,0.09,0.74,0.66,0.27,0.08,0.25,0.37,0,716047,4339176
AS55,0.07,0.37,0.29,0.20,0.03,0.20,0.24,0,716052,4339176
AS56,0.09,0.36,0.28,0.16,0.03,0.16,0.20,0,716057,4339176
AS57,0.04,0.23,0.19,0.12,0.03,0.12,0.16,0,716062,4339176
