PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,0,0.14,0.14,0,0,0,0,0,716042,4339196
AP52,0,0.21,0.21,0,0.01,0,0,0,716037,4339191
AP53,0,0.27,0.27,0.01,0.04,0,0.06,0,716042,4339191
AP54,0,0.39,0.39,0.05,0.08,0,0.17,0,716047,4339191
AQ51,0,0.09,0.09,0,0,0,0,0,716032,4339186
AQ52,0,0.17,0.17,0,0.01,0,0,0,716037,4339186
AQ53,0,0.26,0.26,0.01,0.03,0,0.06,0,716042,4339186
AQ54,0,0.3,0.3,0.06,0.06,0.04,0.14,0,716047,4339186
AQ55,0,0.33,0.33,0.03,0.05,0,0.1,0,716052,4339186
AR50,0,0.32,0.32,0,0.03,0,0,0,716027,4339181
AR51,0,0.35,0.35,0.02,0.06,0,0.09,0,716032,4339181
AR52,0,0.35,0.35,0.03,0.06,0,0.13,0,716037,4339181
AR53,0,0.3,0.3,0.01,0.04,0,0.06,0,716042,4339181
AR54,0,0.32,0.32,0.03,0.05,0,0.11,0,716047,4339181
AR55,0,0.4,0.4,0.15,0.09,0.16,0.27,0,716052,4339181
AR56,0,0.42,0.42,0.14,0.09,0.15,0.25,0,716057,4339181
AR57,0,0.44,0.44,0.15,0.1,0.15,0.29,0,716062,4339181
AS49,0,0.24,0.24,0.01,0.02,0,0,0,716022,4339176
AS50,0,0.25,0.25,0.01,0.02,0,0.01,0,716027,4339176
AS51,0,0.24,0.24,0.01,0.03,0,0.05,0,716032,4339176
AS52,0,0.24,0.24,0,0.02,0,0,0,716037,4339176
AS53,0,0.2,0.2,0,0.02,0,0,0,716042,4339176
AS54,0,0.29,0.29,0.04,0.06,0,0.14,0,716047,4339176
AS55,0,0.35,0.35,0.1,0.08,0.09,0.2,0,716052,4339176
AS56,0,0.52,0.52,0.15,0.09,0.15,0.26,0,716057,4339176
AS57,0,0.46,0.46,0.22,0.1,0.23,0.34,0,716062,4339176
AS58,0,0.44,0.44,0.19,0.08,0.19,0.29,0,716067,4339176
AT49,0,0.35,0.35,0.03,0.05,0,0.12,0,716022,4339171
AT50,0,0.25,0.25,0,0.01,0,0,0,716027,4339171
AT51,0,0.3,0.3,0.01,0.03,0,0,0,716032,4339171
