PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,0.00,0.48,0.48,0.16,0.07,0.15,0.25,0,716042,4339196
AP52,0.02,0.81,0.79,0.29,0.07,0.28,0.37,0,716037,4339191
AP53,0.05,0.58,0.53,0.26,0.05,0.26,0.32,0,716042,4339191
AP54,0.06,0.47,0.42,0.25,0.05,0.25,0.32,0,716047,4339191
AQ51,0.14,0.84,0.70,0.36,0.08,0.35,0.47,0,716032,4339186
AQ52,0.09,0.85,0.76,0.34,0.08,0.33,0.44,0,716037,4339186
AQ53,0.12,0.60,0.48,0.32,0.06,0.32,0.40,0,716042,4339186
AQ54,0.12,0.54,0.42,0.32,0.05,0.32,0.39,0,716047,4339186
AQ55,0.10,0.48,0.38,0.28,0.05,0.27,0.34,0,716052,4339186
AR50,0.04,0.91,0.86,0.39,0.08,0.38,0.48,0,716027,4339181
AR51,0.12,0.77,0.65,0.38,0.08,0.38,0.49,0,716032,4339181
AR52,0.14,0.70,0.56,0.37,0.07,0.37,0.47,0,716037,4339181
AR53,0.12,0.77,0.64,0.38,0.08,0.37,0.48,0,716042,4339181
AR54,0.13,0.70,0.57,0.36,0.06,0.35,0.44,0,716047,4339181
AR55,0.11,0.53,0.43,0.28,0.05,0.27,0.34,0,716052,4339181
AR56,0.12,0.44,0.32,0.25,0.04,0.25,0.31,0,716057,4339181
AR57,0.12,0.46,0.35,0.24,0.05,0.24,0.31,0,716062,4339181
AS49,0.09,0.82,0.73,0.41,0.07,0.41,0.50,0,716022,4339176
AS50,0.14,0.91,0.77,0.39,0.08,0.38,0.49,0,716027,4339176
AS51,0.16,0.78,0.62,0.37,0.07,0.37,0.46,0,716032,4339176
AS52,0.17,0.83,0.66,0.43,0.09,0.42,0.55,0,716037,4339176
AS53,0.16,0.84,0.68,0.44,0.10,0.43,0.57,0,716042,4339176
AS54,0.11,0.86,0.75,0.37,0.09,0.35,0.49,0,716047,4339176
AS55,0.12,0.68,0.57,0.32,0.06,0.31,0.41,0,716052,4339176
AS56,0.12,0.65,0.53,0.33,0.06,0.32,0.41,0,716057,4339176
AS57,0.13,0.53,0.41,0.30,0.06,0.30,0.37,0,716062,4339176
AS58,0.08,0.61,0.54,0.27,0.06,0.26,0.35,0,716067,4339176
AT49,0.17,0.79,0.62,0.41,0.07,0.40,0.50,0,716022,4339171
AT50,0.02,0.91,0.89,0.27,0.11,0.27,0.41,0,716027,4339171
AT51,0.02,0.78,0.76,0.27,0.12,0.26,0.42,0,716032,4339171
AT52,0.15,0.76,0.61,0.41,0.08,0.41,0.53,0,716037,4339171
AT53,0.15,0.91,0.76,0.39,0.08,0.38,0.50,0,716042,4339171
AT54,0.12,0.88,0.77,0.38,0.10,0.37,0.52,0,716047,4339171
AT55,0.15,0.80,0.65,0.36,0.08,0.35,0.47,0,716052,4339171
AT56,0.17,0.72,0.54,0.35,0.06,0.34,0.43,0,716057,4339171
AT57,0.14,0.59,0.46,0.31,0.06,0.31,0.39,0,716062,4339171
AT58,0.12,0.67,0.55,0.34,0.08,0.33,0.45,0,716067,4339171
AT59,0.10,0.60,0.50,0.30,0.06,0.30,0.38,0,716072,4339171
AT60,0.14,0.55,0.41,0.30,0.04,0.30,0.36,0,716077,4339171
AU48,0.16,0.83,0.68,0.40,0.07,0.39,0.49,0,716017,4339166
