PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,-1.00,0.00,1.00,-0.94,0.13,-1.00,-0.74,0,716042,4339196
AP52,-1.00,-0.12,0.88,-0.69,0.19,-0.68,-0.46,0,716037,4339191
AP53,-1.00,-0.16,0.84,-0.57,0.19,-0.53,-0.36,0,716042,4339191
AP54,-1.00,-0.01,0.99,-0.47,0.14,-0.45,-0.31,0,716047,4339191
AQ51,-1.00,-0.24,0.76,-0.66,0.14,-0.64,-0.50,0,716032,4339186
AQ52,-1.00,-0.30,0.70,-0.64,0.15,-0.61,-0.46,0,716037,4339186
AQ53,-1.00,-0.16,0.84,-0.47,0.10,-0.46,-0.35,0,716042,4339186
AQ54,-0.84,-0.13,0.71,-0.40,0.09,-0.39,-0.30,0,716047,4339186
AQ55,-1.00,-0.14,0.86,-0.49,0.11,-0.47,-0.35,0,716052,4339186
AR50,-1.00,-0.15,0.85,-0.54,0.12,-0.54,-0.41,0,716027,4339181
AR51,-1.00,0.01,1.01,-0.50,0.14,-0.50,-0.33,0,716032,4339181
AR52,-0.96,-0.16,0.80,-0.46,0.10,-0.46,-0.34,0,716037,4339181
AR53,-0.84,-0.22,0.63,-0.46,0.09,-0.46,-0.36,0,716042,4339181
AR54,-0.85,-0.14,0.71,-0.40,0.07,-0.39,-0.31,0,716047,4339181
AR55,-0.78,0.10,0.88,-0.32,0.09,-0.32,-0.21,0,716052,4339181
AR56,-0.86,-0.02,0.84,-0.36,0.09,-0.35,-0.25,0,716057,4339181
AR57,-1.00,-0.02,0.98,-0.37,0.11,-0.37,-0.24,0,716062,4339181
AS49,-1.00,0.07,1.07,-0.41,0.14,-0.39,-0.26,0,716022,4339176
AS50,-1.00,-0.07,0.93,-0.49,0.16,-0.47,-0.31,0,716027,4339176
AS51,-1.00,-0.15,0.85,-0.46,0.10,-0.45,-0.34,0,716032,4339176
AS52,-1.00,-0.20,0.80,-0.49,0.09,-0.49,-0.39,0,716037,4339176
AS53,-0.97,-0.18,0.79,-0.46,0.08,-0.45,-0.37,0,716042,4339176
AS54,-0.66,-0.12,0.54,-0.38,0.07,-0.37,-0.29,0,716047,4339176
AS55,-0.75,0.02,0.77,-0.32,0.08,-0.32,-0.23,0,716052,4339176
AS56,-0.68,0.03,0.71,-0.30,0.08,-0.29,-0.20,0,716057,4339176
