PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,-0.08,1.00,1.08,0.92,0.17,1.00,1.00,0,716042,4339196
AP52,-0.06,1.00,1.06,0.64,0.24,0.64,1.00,0,716037,4339191
AP53,-0.20,1.00,1.20,0.43,0.27,0.38,0.90,0,716042,4339191
AP54,-0.32,1.00,1.32,0.24,0.21,0.21,0.50,0,716047,4339191
AQ51,0.20,1.00,0.80,0.66,0.15,0.65,0.87,0,716032,4339186
AQ52,0.07,1.00,0.93,0.60,0.19,0.58,0.88,0,716037,4339186
AQ53,-0.16,1.00,1.16,0.33,0.14,0.32,0.51,0,716042,4339186
AQ54,-0.17,0.80,0.97,0.18,0.12,0.16,0.35,0,716047,4339186
AQ55,-0.17,1.00,1.17,0.29,0.16,0.28,0.49,0,716052,4339186
AR50,0.04,1.00,0.96,0.54,0.14,0.54,0.71,0,716027,4339181
AR51,-0.26,1.00,1.26,0.47,0.19,0.48,0.69,0,716032,4339181
AR52,-0.13,0.95,1.07,0.37,0.15,0.37,0.56,0,716037,4339181
AR53,-0.14,0.85,0.99,0.37,0.14,0.37,0.55,0,716042,4339181
AR54,-0.16,0.76,0.92,0.22,0.11,0.21,0.36,0,716047,4339181
AR55,-0.40,0.65,1.05,0.04,0.13,0.03,0.21,0,716052,4339181
AR56,-0.41,0.78,1.19,0.07,0.14,0.06,0.25,0,716057,4339181
AR57,-0.41,1.00,1.41,0.07,0.15,0.06,0.26,0,716062,4339181
AS49,-0.05,1.00,1.05,0.43,0.15,0.41,0.62,0,716022,4339176
AS50,-0.01,1.00,1.01,0.50,0.17,0.48,0.73,0,716027,4339176
AS51,-0.02,1.00,1.02,0.42,0.14,0.40,0.61,0,716032,4339176
AS52,0.00,1.00,1.00,0.46,0.12,0.46,0.60,0,716037,4339176
AS53,-0.05,0.97,1.02,0.40,0.12,0.40,0.55,0,716042,4339176
AS54,-0.17,0.64,0.81,0.22,0.11,0.22,0.36,0,716047,4339176
AS55,-0.31,0.76,1.07,0.11,0.12,0.10,0.25,0,716052,4339176
AS56,-0.41,0.57,0.98,0.06,0.11,0.06,0.20,0,716057,4339176
AS57,-0.36,0.44,0.80,-0.01,0.12,-0.02,0.16,0,716062,4339176
AS58,-0.44,0.66,1.10,0.03,0.12,0.03,0.19,0,716067,4339176
AT49,-0.05,1.00,1.05,0.36,0.16,0.34,0.56,0,716022,4339171
AT50,0.05,1.00,0.95,0.76,0.25,0.83,1.00,0,716027,4339171
AT51,-0.05,1.00,1.05,0.74,0.29,0.94,1.00,0,716032,4339171
