PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,Longitude,Latitude
AO53,-0.43,0.71,1.14,-0.10,0.10,-0.11,0.04,0,716042,4339196
AP52,-0.41,0.64,1.05,0.01,0.10,0.00,0.13,0,716037,4339191
AP53,-0.34,0.41,0.75,0.02,0.10,0.03,0.15,0,716042,4339191
AP54,-0.32,0.54,0.86,0.03,0.10,0.03,0.15,0,716047,4339191
AQ51,-0.38,0.50,0.88,0.08,0.10,0.08,0.21,0,716032,4339186
AQ52,-0.37,0.87,1.24,0.12,0.12,0.11,0.28,0,716037,4339186
AQ53,-0.29,0.82,1.10,0.09,0.09,0.08,0.20,0,716042,4339186
AQ54,-0.29,0.35,0.64,0.02,0.07,0.02,0.11,0,716047,4339186
AQ55,-0.30,0.46,0.76,-0.02,0.08,-0.03,0.09,0,716052,4339186
AR50,-0.26,0.55,0.82,0.12,0.08,0.12,0.22,0,716027,4339181
AR51,-0.21,0.80,1.01,0.21,0.12,0.20,0.37,0,716032,4339181
AR52,-0.20,0.77,0.98,0.22,0.13,0.21,0.40,0,716037,4339181
AR53,-0.33,0.89,1.22,0.10,0.12,0.09,0.25,0,716042,4339181
AR54,-0.30,1.00,1.30,0.05,0.09,0.05,0.15,0,716047,4339181
AR55,-0.33,0.60,0.93,0.11,0.12,0.11,0.26,0,716052,4339181
AR56,-0.19,0.51,0.70,0.11,0.10,0.10,0.23,0,716057,4339181
AR57,-0.27,0.69,0.96,0.07,0.12,0.06,0.22,0,716062,4339181
AS49,-0.27,0.51,0.79,0.11,0.10,0.11,0.24,0,716022,4339176
AS50,-0.16,0.50,0.66,0.20,0.09,0.20,0.32,0,716027,4339176
AS51,-0.27,0.63,0.90,0.23,0.11,0.23,0.36,0,716032,4339176
AS52,-0.24,0.60,0.84,0.13,0.11,0.12,0.27,0,716037,4339176
AS53,-0.20,0.55,0.75,0.09,0.10,0.08,0.22,0,716042,4339176
AS54,-0.29,0.84,1.12,0.15,0.12,0.15,0.30,0,716047,4339176
AS55,-0.20,0.91,1.10,0.12,0.09,0.12,0.22,0,716052,4339176
AS56,-0.28,0.45,0.73,0.07,0.10,0.07,0.20,0,716057,4339176
AS57,-0.26,0.53,0.79,0.08,0.11,0.08,0.22,0,716062,4339176
AS58,-0.30,0.64,0.95,0.10,0.10,0.10,0.23,0,716067,4339176
AT49,-0.25,0.61,0.86,0.17,0.10,0.17,0.30,0,716022,4339171
AT50,-0.24,0.68,0.93,0.22,0.13,0.20,0.40,0,716027,4339171
AT51,-0.18,0.74,0.92,0.20,0.13,0.18,0.39,0,716032,4339171
AT52,-0.19,0.63,0.83,0.15,0.10,0.15,0.28,0,716037,4339171
AT53,-0.16,0.59,0.75,0.17,0.11,0.17,0.31,0,716042,4339171
AT54,-0.32,0.86,1.19,0.18,0.12,0.17,0.33,0,716047,4339171
AT55,-0.26,0.79,1.05,0.15,0.11,0.15,0.29,0,716052,4339171
AT56,-0.36,0.48,0.84,0.09,0.09,0.09,0.21,0,716057,4339171
AT57,-0.26,0.56,0.82,0.12,0.09,0.12,0.24,0,716062,4339171
AT58,-0.29,0.53,0.82,0.08,0.11,0.08,0.22,0,716067,4339171
AT59,-0.24,1.00,1.24,0.12,0.15,0.10,0.31,0,716072,4339171
AT60,-0.27,0.85,1.12,0.10,0.10,0.11,0.23,0,716077,4339171
AU48,-0.21,0.53,0.74,0.14,0.10,0.14,0.27,0,716017,4339166
AU49,-0.29,0.58,0.88,0.16,0.10,0.16,0.29,0,716022,4339166
AU50,-0.23,0.68,0.92,0.09,0.11,0.07,0.22,0,716027,4339166
AU51,-0.23,0.49,0.72,0.15,0.11,0.16,0.29,0,716032,4339166
AU52,-0.20,0.59,0.79,0.23,0.09,0.23,0.33,0,716037,4339166
AU53,-0.33,0.77,1.10,0.24,0.11,0.25,0.37,0,716042,4339166
AU54,-0.19,0.64,0.83,0.17,0.10,0.17,0.29,0,716047,4339166
AU55,-0.32,0.58,0.91,0.17,0.10,0.17,0.30,0,716052,4339166
AU56,-0.30,0.66,0.97,0.12,0.10,0.11,0.25,0,716057,4339166
AU57,-0.17,0.38,0.55,0.10,0.08,0.10,0.20,0,716062,4339166
AU58,-0.23,0.81,1.04,0.06,0.11,0.05,0.19,0,716067,4339166
AU59,-0.31,1.00,1.31,0.10,0.15,0.08,0.28,0,716072,4339166
AU60,-0.23,0.57,0.79,0.15,0.11,0.15,0.30,1,716077,4339166
AU61,-0.20,0.61,0.81,0.23,0.10,0.23,0.35,1,716082,4339166
AV47,-0.36,0.70,1.05,0.21,0.11,0.21,0.35,0,716012,4339161
AV48,-0.29,0.59,0.88,0.21,0.10,0.21,0.34,0,716017,4339161
AV49,-0.30,0.66,0.97,0.18,0.11,0.17,0.32,0,716022,4339161
AV50,-0.20,0.53,0.73,0.17,0.09,0.17,0.29,0,716027,4339161
AV51,-0.24,0.86,1.10,0.23,0.11,0.23,0.36,0,716032,4339161
AV52,-0.22,0.61,0.83,0.15,0.09,0.15,0.27,0,716037,4339161
AV53,-0.26,0.66,0.92,0.20,0.09,0.20,0.31,0,716042,4339161
AV54,-0.32,0.77,1.09,0.19,0.11,0.19,0.34,0,716047,4339161
AV55,-0.32,0.59,0.91,0.17,0.11,0.16,0.32,0,716052,4339161
AV56,-0.20,0.52,0.72,0.10,0.09,0.09,0.21,0,716057,4339161
AV57,-0.19,0.70,0.89,0.12,0.12,0.11,0.29,0,716062,4339161
AV58,-0.22,0.54,0.76,0.16,0.11,0.16,0.30,0,716067,4339161
AV59,-0.23,0.52,0.76,0.13,0.10,0.14,0.26,0,716072,4339161
AV60,-0.24,0.57,0.81,0.15,0.10,0.15,0.28,1,716077,4339161
AV61,-0.13,0.60,0.72,0.25,0.09,0.25,0.36,1,716082,4339161
AV62,-0.21,0.84,1.05,0.26,0.14,0.25,0.43,1,716087,4339161
AW47,-0.23,0.57,0.80,0.23,0.09,0.23,0.34,0,716012,4339156
AW48,-0.23,0.49,0.72,0.20,0.08,0.21,0.31,0,716017,4339156
AW49,-0.29,0.59,0.88,0.17,0.10,0.17,0.29,0,716022,4339156
AW50,-0.19,0.55,0.74,0.20,0.08,0.20,0.31,0,716027,4339156
AW51,-0.27,0.64,0.91,0.15,0.13,0.15,0.32,0,716032,4339156
AW52,-0.38,0.68,1.07,0.11,0.13,0.10,0.30,0,716037,4339156
AW53,-0.22,0.62,0.84,0.22,0.08,0.23,0.32,0,716042,4339156
AW54,-0.12,0.78,0.90,0.28,0.12,0.28,0.43,0,716047,4339156
AW55,-0.28,0.60,0.88,0.18,0.11,0.17,0.32,0,716052,4339156
AW56,-0.21,0.69,0.90,0.17,0.11,0.17,0.33,0,716057,4339156
AW57,-0.20,0.88,1.08,0.20,0.13,0.21,0.37,0,716062,4339156
AW58,-0.18,0.52,0.70,0.18,0.09,0.19,0.30,1,716067,4339156
AW59,-0.16,0.48,0.64,0.20,0.08,0.20,0.29,0,716072,4339156
AW61,-0.30,0.60,0.90,0.24,0.10,0.25,0.37,1,716082,4339156
AW62,-0.16,0.58,0.74,0.24,0.09,0.24,0.35,1,716087,4339156
AW63,-0.35,1.00,1.35,0.28,0.13,0.27,0.44,1,716092,4339156
AX47,-0.50,0.60,1.10,0.24,0.11,0.24,0.37,0,716012,4339151
AX48,-0.32,0.63,0.95,0.22,0.11,0.23,0.36,0,716017,4339151
AX49,-0.39,0.58,0.97,0.19,0.11,0.19,0.32,0,716022,4339151
AX50,-0.22,0.79,1.01,0.24,0.09,0.23,0.35,0,716027,4339151
AX51,-0.15,0.65,0.80,0.23,0.08,0.22,0.33,0,716032,4339151
AX52,-0.15,0.62,0.77,0.26,0.09,0.26,0.37,0,716037,4339151
AX53,-0.03,0.52,0.55,0.27,0.07,0.28,0.36,0,716042,4339151
AX54,-0.11,0.71,0.82,0.24,0.09,0.24,0.35,0,716047,4339151
AX55,-0.20,0.79,1.00,0.21,0.12,0.21,0.37,0,716052,4339151
AX56,-0.19,0.64,0.83,0.18,0.11,0.18,0.32,0,716057,4339151
AX57,-0.13,0.91,1.05,0.23,0.10,0.23,0.35,1,716062,4339151
AX58,-0.20,0.61,0.81,0.09,0.10,0.09,0.23,1,716067,4339151
AX59,-0.24,0.46,0.70,0.10,0.09,0.10,0.22,1,716072,4339151
