PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,0.00,0.64,0.64,0.18,0.09,0.17,0.29,0,716042,4339196
AP52,0.08,0.70,0.62,0.33,0.09,0.33,0.44,0,716037,4339191
AP53,0.03,0.68,0.65,0.37,0.10,0.37,0.49,0,716042,4339191
AP54,0.09,0.85,0.76,0.44,0.10,0.43,0.56,0,716047,4339191
AQ51,0.12,0.61,0.49,0.34,0.07,0.34,0.43,0,716032,4339186
AQ52,0.14,0.67,0.53,0.37,0.08,0.36,0.48,0,716037,4339186
AQ53,0.18,0.74,0.56,0.45,0.08,0.45,0.55,0,716042,4339186
AQ54,0.23,0.87,0.64,0.53,0.09,0.53,0.65,0,716047,4339186
AQ55,0.21,0.75,0.54,0.44,0.08,0.44,0.54,0,716052,4339186
AR50,0.00,0.94,0.93,0.39,0.10,0.37,0.48,0,716027,4339181
AR51,0.13,0.79,0.66,0.42,0.10,0.41,0.55,0,716032,4339181
AR52,0.21,0.77,0.56,0.46,0.08,0.46,0.57,0,716037,4339181
AR53,0.23,0.81,0.58,0.47,0.08,0.46,0.57,0,716042,4339181
AR54,0.28,0.78,0.51,0.53,0.07,0.53,0.62,0,716047,4339181
AR55,0.26,0.92,0.66,0.50,0.07,0.50,0.59,0,716052,4339181
AR56,0.19,0.69,0.50,0.46,0.06,0.47,0.54,0,716057,4339181
AR57,0.23,0.74,0.51,0.46,0.08,0.45,0.57,0,716062,4339181
AS49,0.05,0.68,0.63,0.39,0.07,0.39,0.48,0,716022,4339176
AS50,0.12,0.93,0.81,0.37,0.08,0.37,0.48,0,716027,4339176
AS51,0.17,0.73,0.56,0.41,0.08,0.41,0.52,0,716032,4339176
AS52,0.16,0.81,0.65,0.46,0.08,0.46,0.57,0,716037,4339176
AS53,0.21,0.78,0.56,0.50,0.09,0.50,0.61,0,716042,4339176
AS54,0.24,0.87,0.63,0.51,0.09,0.50,0.63,0,716047,4339176
AS55,0.26,0.91,0.65,0.51,0.09,0.50,0.63,0,716052,4339176
AS56,0.25,0.88,0.63,0.53,0.08,0.53,0.64,0,716057,4339176
AS57,0.30,0.84,0.54,0.53,0.07,0.53,0.62,0,716062,4339176
AS58,0.27,0.77,0.50,0.49,0.07,0.48,0.58,0,716067,4339176
AT49,0.16,0.68,0.51,0.40,0.07,0.40,0.50,0,716022,4339171
AT50,0.01,0.62,0.61,0.22,0.11,0.21,0.37,0,716027,4339171
AT51,0.01,0.76,0.75,0.24,0.16,0.20,0.47,0,716032,4339171
AT52,0.22,0.78,0.56,0.47,0.08,0.46,0.58,0,716037,4339171
AT53,0.20,0.89,0.69,0.47,0.08,0.46,0.57,0,716042,4339171
AT54,0.23,0.86,0.62,0.49,0.09,0.48,0.60,0,716047,4339171
AT55,0.24,0.81,0.57,0.50,0.08,0.50,0.60,0,716052,4339171
AT56,0.22,0.77,0.54,0.50,0.07,0.49,0.59,0,716057,4339171
AT57,0.25,0.75,0.49,0.48,0.07,0.48,0.57,0,716062,4339171
AT58,0.29,0.83,0.54,0.49,0.07,0.48,0.58,0,716067,4339171
AT59,0.23,0.68,0.45,0.45,0.06,0.45,0.52,0,716072,4339171
AT60,0.15,0.72,0.57,0.45,0.07,0.45,0.53,0,716077,4339171
AU48,0.13,0.69,0.57,0.40,0.08,0.40,0.50,0,716017,4339166
AU49,0.09,0.65,0.56,0.34,0.08,0.34,0.44,0,716022,4339166
AU50,0.00,0.67,0.67,0.20,0.10,0.18,0.35,0,716027,4339166
